  Part Instance     Node ID  Attached elements            NT11
---------------------------------------------------------------
     MACRO-1           6               5         29.7401
     MACRO-1           5               4          24.551
     MACRO-1           5               5          24.551
     MACRO-1           4               3         25.0046
     MACRO-1           4               4         25.0046
     MACRO-1           3               2         25.0124
     MACRO-1           3               3         25.0124
     MACRO-1           2               1         24.9959
     MACRO-1           2               2         24.9959
     MACRO-1           1               1             25.
     MACRO-1          12               5         29.7089
     MACRO-1          12              10         29.7089
     MACRO-1          11               4          24.542
     MACRO-1          11               5          24.542
     MACRO-1          11               9          24.542
     MACRO-1          11              10          24.542
     MACRO-1          10               3          25.008
     MACRO-1          10               4          25.008
     MACRO-1          10               8          25.008
     MACRO-1          10               9          25.008
     MACRO-1           9               2         25.0117
     MACRO-1           9               3         25.0117
     MACRO-1           9               7         25.0117
     MACRO-1           9               8         25.0117
     MACRO-1           8               1          24.996
     MACRO-1           8               2          24.996
     MACRO-1           8               6          24.996
     MACRO-1           8               7          24.996
     MACRO-1           7               1             25.
     MACRO-1           7               6             25.
     MACRO-1          18              10         29.7145
     MACRO-1          18              15         29.7145
     MACRO-1          17               9         24.5437
     MACRO-1          17              10         24.5437
     MACRO-1          17              14         24.5437
     MACRO-1          17              15         24.5437
     MACRO-1          16               8         25.0073
     MACRO-1          16               9         25.0073
     MACRO-1          16              13         25.0073
     MACRO-1          16              14         25.0073
     MACRO-1          15               7         25.0118
     MACRO-1          15               8         25.0118
     MACRO-1          15              12         25.0118
     MACRO-1          15              13         25.0118
     MACRO-1          14               6          24.996
     MACRO-1          14               7          24.996
     MACRO-1          14              11          24.996
     MACRO-1          14              12          24.996
     MACRO-1          13               6             25.
     MACRO-1          13              11             25.
     MACRO-1          24              15         29.7127
     MACRO-1          24              20         29.7127
     MACRO-1          23              14         24.5432
     MACRO-1          23              15         24.5432
     MACRO-1          23              19         24.5432
     MACRO-1          23              20         24.5432
     MACRO-1          22              13         25.0076
     MACRO-1          22              14         25.0076
     MACRO-1          22              18         25.0076
     MACRO-1          22              19         25.0076
     MACRO-1          21              12         25.0118
     MACRO-1          21              13         25.0118
     MACRO-1          21              17         25.0118
     MACRO-1          21              18         25.0118
     MACRO-1          20              11          24.996
     MACRO-1          20              12          24.996
     MACRO-1          20              16          24.996
     MACRO-1          20              17          24.996
     MACRO-1          19              11             25.
     MACRO-1          19              16             25.
     MACRO-1          30              20         29.7183
     MACRO-1          30              25         29.7183
     MACRO-1          29              19         24.5447
     MACRO-1          29              20         24.5447
     MACRO-1          29              24         24.5447
     MACRO-1          29              25         24.5447
     MACRO-1          28              18         25.0069
     MACRO-1          28              19         25.0069
     MACRO-1          28              23         25.0069
     MACRO-1          28              24         25.0069
     MACRO-1          27              17         25.0119
     MACRO-1          27              18         25.0119
     MACRO-1          27              22         25.0119
     MACRO-1          27              23         25.0119
     MACRO-1          26              16          24.996
     MACRO-1          26              17          24.996
     MACRO-1          26              21          24.996
     MACRO-1          26              22          24.996
     MACRO-1          25              16             25.
     MACRO-1          25              21             25.
     MACRO-1          36              25         29.6874
     MACRO-1          35              24         24.5358
     MACRO-1          35              25         24.5358
     MACRO-1          34              23         25.0103
     MACRO-1          34              24         25.0103
     MACRO-1          33              22         25.0112
     MACRO-1          33              23         25.0112
     MACRO-1          32              21         24.9961
     MACRO-1          32              22         24.9961
     MACRO-1          31              21             25.
